ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T034049	16	99-A103	99	1999	6	MO	MOR	1999-06-25	12	953	186	8	58	0.2	0.04	0.31	1	577	24.7	2	0.32258064516129	2	CentralValleyfa	0.99951497	CentralValleysp	0.00048494	DeschutesRfa	9e-08	CentralValleyfa--Butte_Cr_fa	93	-34.56976	-0.332643	0.3543	16	6	June								
T034050	16	99-A104	99	1999	6	MO	MOR	1999-06-25	12	953	186	8	58	0.2	0.04	0.31	1	623	26.6	2	0.293478260869565	3	CentralValleywi	0.99999724	CentralValleyfa	2.75e-06	CentralValleysp	0	CentralValleywi--Sacramento_H	92	-27.507907	-0.08312	0.4417	16	6	June								
T034051	16	99-A105	99	1999	6	MO	MOR	1999-06-25	12	953	186	8	58	0.2	0.04	0.31	1	763	32.3	2	0.483516483516484	4	CentralValleyfa	0.99999331	CentralValleysp	5.33e-06	MidOregonCoast	8.8e-07	CentralValleyfa--Butte_Cr_fa	91	-32.875682	-0.031981	0.464	16	6	June								
T034052	16	99-A106	99	1999	6	MO	MOR	1999-06-21	12	953	186	8	58	0.2	0.04	0.31	1	600	25.6	2	0.319148936170213	1	CentralValleywi	1	CentralValleysp	0	CentralValleyfa	0	CentralValleywi--Sacramento_H	94	-27.973773	0.0804	0.5088	16	6	June								
T034053	16	99-A107	99	1999	6	MO	MOR	1999-06-21	12	953	186	8	58	0.2	0.04	0.31	1	593	25.4	2	0.294736842105263	0	CentralValleywi	1	CentralValleysp	0	CentralValleyfa	0	CentralValleywi--Sacramento_H	95	-27.78595	0.312849	0.6032	16	6	June								
T034054	19	99-A150	99	1999	7	BB	BOD	1999-07-11	13	15704	3497	275	54	0.22	0.08	0.02	1	736	31.2	2	0.397849462365591	2	CentralValleyfa	0.99994206	CentralValleysp	5.794e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	93	-33.552689	0.096105	0.5241	19	7	July	22101	0601060308	1996	Spring	FEATHER RIVER	FEATHER R HATCH	H	1.01
T034055	19	99-A157	99	1999	7	BB	BOD	1999-07-13	13	15704	3497	275	54	0.22	0.08	0.02	1	765	32.4	2	0.308510638297872	1	CentralValleyfa	0.99661151	CentralValleysp	0.00338849	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	94	-33.576379	0.229777	0.5739	19	7	July								
T034056	19	99-A161	99	1999	7	BB	BOD	1999-07-13	13	15704	3497	275	54	0.22	0.08	0.02	1	774	32.8	2	0.425531914893617	1	CentralValleyfa	0.99689044	CentralValleysp	0.00310955	DeschutesRfa	1e-08	CentralValleyfa--Butte_Cr_fa	94	-32.806803	0.595444	0.7128	19	7	July								
T034057	19	99-A165	99	1999	7	BB	BOD	1999-07-13	13	15704	3497	275	54	0.22	0.08	0.02	1	840	35.5	2	0.319148936170213	1	CentralValleyfa	0.99998163	CentralValleysp	1.836e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	94	-32.221359	0.872485	0.8059	19	7	July								
T034058	19	99-A170	99	1999	7	BB	BOD	1999-07-13	13	15704	3497	275	54	0.22	0.08	0.02	1	835	35.3	2	0.43010752688172	2	CentralValleyfa	0.97375353	CentralValleysp	0.02624631	LColumbiaRfa	9e-08	CentralValleyfa--Butte_Cr_fa	93	-37.387965	-1.686566	0.0532	19	7	July								
T034059	19	99-A172	99	1999	7	BB	BOD	1999-07-13	13	15704	3497	275	54	0.22	0.08	0.02	1	902	38	2	0.357894736842105	0	CentralValleyfa	0.99990279	CentralValleysp	9.721e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	95	-32.673692	0.836309	0.7943	19	7	July								
