ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T034084	4	99-B304	99	1999	3	BB	BOD	1999-03-28	6	744	294	28	17	0.4	0.1	0.06	NA	610	26	1	0.591549295774648	24	CentralValleyfa	0.99982508	CentralValleysp	0.00015946	LColumbiaRsp	1.256e-05	CentralValleyfa--Feather_H_fa	71	-21.660713	2.37563	0.9978	4	3	March	NA	NA	NA	NA	NA	NA	NA	NA
T034151	20	99-B564	99	1999	7	BB	BOD	1999-07-21	14	14165	3239	217	56	0.23	0.07	0.02	1	628	26.8	1	0.554054054054054	21	CentralValleyfa	0.99895633	CentralValleysp	0.00104366	DeschutesRfa	1e-08	CentralValleyfa--Butte_Cr_fa	74	-21.545468	2.535603	0.999	20	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T034161	22	99-B602	99	1999	8	BB	BOD	1999-08-01	15	6168	1556	78	67	0.25	0.05	0.04	1	515	22.2	2	0.63768115942029	26	CentralValleyfa	0.97836633	CentralValleysp	0.0216332	DeschutesRfa	3.5e-07	CentralValleyfa--Butte_Cr_fa	69	-23.639143	0.762078	0.7712	22	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T034207	19	99-C205	99	1999	7	MO	SCR	1999-07-12	13	1308	315	24	56	0.24	0.08	0.18	1	772	32.7	2	0.183333333333333	35	CentralValleyfa	0.99951193	CentralValleysp	0.00048803	SPugetSound	3e-08	CentralValleyfa--Butte_Cr_fa	60	-22.100116	-0.468624	0.3034	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T034263	13	99-C308	99	1999	6	MO	SCR	1999-06-04	11	1324	252	22	55	0.19	0.09	0.22	1	780	33	2	0.388888888888889	23	CentralValleyfa	0.99999835	CentralValleysp	1.42e-06	DeschutesRfa	2e-07	CentralValleyfa--Battle_Cr	72	-27.764523	-1.094987	0.1385	13	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T034264	13	99-C310	99	1999	6	MO	SCR	1999-06-04	11	1324	252	22	55	0.19	0.09	0.22	1	752	31.9	1	0.338028169014085	24	CentralValleyfa	0.9996359	DeschutesRfa	0.00017771	CentralValleysp	0.00014167	CentralValleyfa--Battle_Cr	71	-30.610581	-2.679414	0.0086	13	6	June	22359	0601140513	1995	Fall	FEATHER RIVER	FEATHER R HATCH	H	1.02
T034265	23	99-C312	99	1999	8	SF	SAU	1999-08-11	15	6168	1556	78	67	0.25	0.05	0.04	1	473	20.4	1	0.127659574468085	48	CentralValleyfa	0.99911572	CentralValleysp	0.00087133	DeschutesRfa	1.205e-05	CentralValleyfa--Butte_Cr_fa	47	-17.39702	-0.223002	0.3846	23	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T034275	23	99-C353	99	1999	8	SF	SAU	1999-08-12	15	6168	1556	78	67	0.25	0.05	0.04	1	881	37.2	1	0.592592592592593	14	CentralValleyfa	0.99996404	CentralValleysp	3.56e-05	DeschutesRfa	3.5e-07	CentralValleyfa--Butte_Cr_fa	81	-25.803519	1.768333	0.9746	23	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T034321	6	99-E607	99	1999	4	SF	BER	1999-04-13	7	2100	435	38	42	0.21	0.09	0.1	1	614	26.2	1	0.566666666666667	5	CentralValleyfa	0.9961621	CentralValleysp	0.00383768	DeschutesRfa	1.2e-07	CentralValleyfa--Butte_Cr_fa	90	-29.242146	1.674685	0.9624	6	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T034335	14	99-E667	99	1999	6	SF	BER	1999-06-09	11	4909	1356	129	38	0.28	0.1	0.03	1	560	24	1	0.646341463414634	13	CentralValleyfa	0.98154067	CentralValleysp	0.01845843	DeschutesRfa	8.4e-07	CentralValleyfa--Feather_H_fa	82	-28.291838	0.569362	0.699	14	6	June	NA	NA	NA	NA	NA	NA	NA	NA
