ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T035685	14	00-A117	0	2000	6	SF	BER	2000-06-26	12	8496	2467	154	63	0.29	0.06	0.03	1	522	22.4	1	0.573033707865168	6	CentralValleyfa	0.99962805	CentralValleysp	0.00037195	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	89	-30.406837	0.8865	0.8071	14	6	June	26255	064602	1998	Fall	MERCED RIVER	MERCED R FISH F	H	1.01
T035726	23	00-A274	0	2000	9	SF	BER	2000-09-01	17	5132	1169	26	60	0.23	0.02	0.05	1	549	23.5	2	0.701298701298701	18	CentralValleyfa	0.5975466	CentralValleysp	0.40245279	MidOregonCoast	2.2e-07	CentralValleyfa--Butte_Cr_fa	77	-32.647285	-2.389436	0.0126	23	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T035748	31	00-A333	0	2000	10	SF	BER	2000-10-22	20	2084	461	22	22	0.22	0.05	0.05	1	500	21.5	1	0.629213483146067	6	CentralValleyfa	0.99436896	CentralValleysp	0.00563101	DeschutesRfa	1e-08	CentralValleyfa--Butte_Cr_fa	89	-30.765742	0.718644	0.7591	31	10	October	NA	NA	NA	NA	NA	NA	NA	NA
T035749	31	00-A334	0	2000	10	SF	BER	2000-10-22	20	2084	461	22	22	0.22	0.05	0.05	1	515	22.2	1	0.568181818181818	7	CentralValleyfa	0.94021083	CentralValleysp	0.05978894	DeschutesRfa	2.3e-07	CentralValleyfa--Butte_Cr_fa	88	-27.879428	1.738897	0.9695	31	10	October	NA	NA	NA	NA	NA	NA	NA	NA
T035754	4	00-B010	0	2000	4	SF	EME	2000-04-21	8	3901	1470	43	78	0.38	0.03	0.05	1	622	26.5	1	0.584415584415584	18	CentralValleyfa	0.99977319	CentralValleysp	0.00022681	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	77	-23.586023	2.240016	0.995	4	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T035949	22	00-C340	0	2000	8	BB	BOD	2000-08-23	16	4255	1300	61	51	0.31	0.05	0.04	1	475	20.5	1	0.134328358208955	28	CentralValleyfa	0.999988	CentralValleysp	1.2e-05	CentralValleywi	0	CentralValleyfa--Mill_Cr_fa	67	-26.844975	-1.485848	0.0758	22	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T036005	2	00-D001	0	2000	4	FB	FTB	2000-04-04	7	380	91	4	28	0.24	0.04	0.31	1	660	28.1	2	0.2	90	CentralValleyfa	0.53798028	KlamathR	0.17908491	RogueR	0.16264618	CentralValleyfa--Butte_Cr_fa	5	-2.432355	-1.126374	0.1459	2	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T036021	3	00-D017	0	2000	4	FB	FTB	2000-04-13	7	380	91	4	28	0.24	0.04	0.31	1	675	28.7	1	0	94	CentralValleyfa	0.89357756	KlamathR	0.04494353	RogueR	0.03594579	CentralValleyfa--Mokelumne_R_fa	1	-0.340802	0.398296	1	3	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T036061	5	00-D057	0	2000	4	FB	FTB	2000-04-29	8	316	106	2	37	0.34	0.02	0.35	1	658	28	1	0.564705882352941	10	NCaliforniaSOregonCoast	0.74847821	RogueR	0.16634565	MidOregonCoast	0.07317357	NCaliforniaSOregonCoast--Smith_R	85	-33.926187	-1.02612	0.1518	5	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T036081	7	00-D083	0	2000	5	FB	FTB	2000-05-13	9	931	311	8	40	0.33	0.03	0.13	1	660	28.1	2	0.2	90	CentralValleyfa	0.92635505	CentralValleysp	0.04109552	RogueR	0.0168554	CentralValleyfa--Butte_Cr_fa	5	-1.380482	0.025709	0.4923	7	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036090	8	00-D095	0	2000	5	FB	FTB	2000-05-16	10	1767	597	26	70	0.34	0.04	0.12	1	709	30.1	1	0.641304347826087	3	CentralValleyfa	0.99916937	CentralValleysp	0.00081027	DeschutesRfa	1.354e-05	CentralValleyfa--Butte_Cr_fa	92	-31.833633	0.661935	0.735	8	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036095	8	00-D103	0	2000	5	FB	FTB	2000-05-19	10	1767	597	26	70	0.34	0.04	0.12	1	676	28.8	2	0.594936708860759	16	CentralValleyfa	0.99982292	CentralValleysp	0.00017667	DeschutesRfa	2.9e-07	CentralValleyfa--Butte_Cr_fa	79	-24.222147	2.206579	0.9937	8	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036167	18	00-D320	0	2000	7	FB	FTB	2000-07-23	14	6138	2077	41	77	0.34	0.02	0.04	1	506	21.8	1	0.604938271604938	14	CentralValleyfa	0.86129128	CentralValleysp	0.13870872	CentralValleywi	0	CentralValleyfa--Feather_H_fa	81	-26.030278	1.445137	0.9377	18	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T036170	18	00-D323	0	2000	7	FB	FTB	2000-07-23	14	6138	2077	41	77	0.34	0.02	0.04	1	780	33	1	0.573333333333333	20	CentralValleyfa	0.97920508	CentralValleysp	0.02079492	CentralValleywi	0	CentralValleyfa--Feather_H_fa	75	-23.610691	1.795453	0.974	18	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T036236	21	00-D430	0	2000	8	FB	FTB	2000-08-18	16	2998	892	15	49	0.3	0.02	0.05	1	756	32	1	0.605263157894737	19	CentralValleyfa	0.99980912	CentralValleysp	0.00019088	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	76	-22.209257	2.592059	0.9993	21	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T036251	22	00-D461	0	2000	8	FB	FTB	2000-08-26	16	2998	892	15	49	0.3	0.02	0.05	1	600	25.6	1	0.63013698630137	22	CentralValleyfa	0.99954709	CentralValleysp	0.00045289	LColumbiaRsp	2e-08	CentralValleyfa--Butte_Cr_fa	73	-25.658273	0.282474	0.5899	22	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T036266	23	00-D481	0	2000	9	FB	FTB	2000-09-02	17	1089	395	8	63	0.36	0.02	0.16	1	875	36.9	2	0.549295774647887	24	CentralValleyfa	0.99010868	CentralValleysp	0.00988839	DeschutesRfa	2.85e-06	CentralValleyfa--Butte_Cr_fa	71	-22.722197	1.435558	0.9365	23	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T036278	24	00-D493	0	2000	9	FB	FTB	2000-09-07	17	1089	395	8	63	0.36	0.02	0.16	1	664	28.3	2	0.573170731707317	13	CentralValleyfa	0.85882905	CentralValleysp	0.14117064	LColumbiaRfa	2.1e-07	CentralValleyfa--Butte_Cr_fa	82	-29.709342	-0.255499	0.3788	24	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T036284	25	00-D499	0	2000	9	FB	FTB	2000-09-15	17	1089	395	8	63	0.36	0.02	0.16	1	835	35.3	2	0.465753424657534	22	CentralValleyfa	0.99088315	CentralValleysp	0.00911677	DeschutesRfa	6e-08	CentralValleyfa--Butte_Cr_fa	73	-25.905132	0.261599	0.5821	25	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T036314	7	00-E124	0	2000	5	MO	SCR	2000-05-07	9	12675	3203	89	65	0.25	0.03	0.02	1	642	27.4	1	0.441176470588235	27	CentralValleyfa	0.99994706	CentralValleysp	5.294e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	68	-21.310212	1.397077	0.9282	7	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036318	7	00-E131	0	2000	5	MO	SCR	2000-05-08	9	12675	3203	89	65	0.25	0.03	0.02	1	695	29.5	1	0.513888888888889	23	CentralValleyfa	0.98226789	CentralValleysp	0.01773167	LColumbiaRsp	2.6e-07	CentralValleyfa--Butte_Cr_fa	72	-24.350854	0.49461	0.6703	7	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036339	8	00-E183	0	2000	5	MO	SCR	2000-05-18	10	5765	1231	38	45	0.21	0.03	0.04	1	715	30.4	2	0.513888888888889	23	CentralValleyfa	0.99989886	CentralValleysp	0.00010113	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	72	-24.102525	0.960648	0.8323	8	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036533	25	00-G344	0	2000	9	MO	SCR	2000-09-14	17	901	228	26	60	0.25	0.11	0.26	1	557	23.9	1	0.606741573033708	6	CentralValleyfa	0.99948097	CentralValleysp	0.0005129	DeschutesRfa	5.29e-06	CentralValleyfa--Butte_Cr_fa	89	-28.89692	1.729408	0.9708	25	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T036607	28	00-H160	0	2000	10	SF	SAU	2000-10-03	19	4465	1007	30	88	0.23	0.03	0.09	1	715	30.4	1	0.0666666666666667	20	CentralValleyfa	0.96377303	CentralValleysp	0.03622224	MidOregonCoast	3.87e-06	CentralValleyfa--Butte_Cr_fa	75	-35.222143	-4.214791	1e-04	28	10	October	NA	NA	NA	NA	NA	NA	NA	NA
T036821	24	00-I216	0	2000	9	CR	CRD	2000-09-05	17	140	42	6	15	0.3	0.14	0.36	1	765	32.4	2	0.540540540540541	21	CentralValleyfa	0.99663351	DeschutesRfa	0.00210986	CentralValleysp	0.00058619	CentralValleyfa--Mokelumne_R_fa	74	-29.470734	-1.388818	0.0875	24	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T036832	3	00-J035	0	2000	4	MO	AVI	2000-04-09	7	11142	2652	112	62	0.24	0.04	0.02	1	654	27.9	2	0.588888888888889	5	CentralValleyfa	0.9992333	LColumbiaRsp	0.00070213	CentralValleysp	2.612e-05	CentralValleyfa--Butte_Cr_fa	90	-34.763771	-0.97182	0.1623	3	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T036833	3	00-J037	0	2000	4	MO	AVI	2000-04-09	7	11142	2652	112	62	0.24	0.04	0.02	1	679	28.9	2	0.563218390804598	8	CentralValleyfa	0.99957438	CentralValleysp	0.00023188	LColumbiaRsp	0.0001702	CentralValleyfa--Mill_Cr_fa	87	-32.791666	-0.89272	0.1843	3	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T036872	9	00-J184	0	2000	5	MO	MOR	2000-05-23	10	5765	1231	38	45	0.21	0.03	0.04	1	721	30.6	2	0.569767441860465	9	CentralValleyfa	0.99972748	CentralValleysp	0.00027252	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	86	-27.429843	1.584188	0.954	9	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T036991	7	00-L134	0	2000	5	SF	SNF	2000-05-07	9	3557	912	23	44	0.26	0.03	0.05	1	600	25.6	1	0.102040816326531	46	CentralValleyfa	0.85409511	WillametteR	0.06928939	NPugetSound	0.01687638	CentralValleyfa--Butte_Cr_fa	49	-21.600586	-2.227695	0.0216	7	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T037006	9	00-L192	0	2000	5	SF	SNF	2000-05-21	10	6209	1923	57	66	0.31	0.03	0.03	1	610	26	1	0.594594594594595	21	CentralValleyfa	0.99912683	CentralValleysp	0.00087273	DeschutesRfa	2e-07	CentralValleyfa--Butte_Cr_fa	74	-28.999476	-0.700051	0.2312	9	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T037007	9	00-L195	0	2000	5	SF	SNF	2000-05-21	10	6209	1923	57	66	0.31	0.03	0.03	1	580	24.8	1	0	94	CentralValleyfa	0.86559812	CaliforniaCoast	0.04915029	CentralValleysp	0.01439443	CentralValleyfa--Butte_Cr_fa	1	-1.352811	-4.029288	0.0415	9	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T037097	22	00-L616	0	2000	8	SF	SNF	2000-08-26	16	4255	1300	61	51	0.31	0.05	0.04	1	475	20.5	1	0.662790697674419	9	CentralValleyfa	0.9762973	CentralValleysp	0.02369719	LColumbiaRsp	4.62e-06	CentralValleyfa--Feather_H_sp	86	-30.643075	0.517438	0.6797	22	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T037121	24	00-L685	0	2000	9	SF	SNF	2000-09-09	17	5132	1169	26	60	0.23	0.02	0.05	1	879	37.1	1	0.590361445783133	12	CentralValleyfa	0.97652834	CentralValleysp	0.02346803	DeschutesRfa	1.69e-06	CentralValleyfa--Butte_Cr_fa	83	-27.999228	0.808584	0.7826	24	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037124	25	00-L700	0	2000	9	SF	SNF	2000-09-10	17	5132	1169	26	60	0.23	0.02	0.05	1	732	31	1	0.6625	15	CentralValleyfa	0.99884427	CentralValleysp	0.00115573	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	80	-25.06778	1.839172	0.9784	25	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037126	25	00-L702	0	2000	9	SF	SNF	2000-09-10	17	5132	1169	26	60	0.23	0.02	0.05	1	799	33.8	1	0.58974358974359	17	CentralValleyfa	0.99992537	CentralValleysp	7.462e-05	DeschutesRfa	1e-08	CentralValleyfa--Butte_Cr_fa	78	-23.730524	2.414944	0.9981	25	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037127	25	00-L703	0	2000	9	SF	SNF	2000-09-10	17	5132	1169	26	60	0.23	0.02	0.05	1	978	41.1	1	0.138888888888889	23	CentralValleyfa	0.99947063	CentralValleysp	0.00036955	EVancouverIs	7.99e-05	CentralValleyfa--Butte_Cr_fa	72	-26.523242	-0.227338	0.389	25	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037145	26	00-L751	0	2000	9	SF	SNF	2000-09-23	18	2831	838	21	50	0.3	0.03	0.06	1	725	30.8	1	0.564705882352941	10	CentralValleyfa	0.99960774	CentralValleysp	0.00039225	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	85	-28.903251	0.646819	0.7363	26	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037164	28	00-L791	0	2000	10	SF	SNF	2000-10-07	19	4465	1007	30	88	0.23	0.03	0.09	1	825	34.9	1	0.61038961038961	18	CentralValleyfa	0.99755665	CentralValleysp	0.00244335	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	77	-23.779545	1.882135	0.9816	28	10	October	NA	NA	NA	NA	NA	NA	NA	NA
T037165	28	00-L792	0	2000	10	SF	SNF	2000-10-07	19	4465	1007	30	88	0.23	0.03	0.09	1	625	26.7	1	0.586666666666667	20	CentralValleyfa	0.98493053	CentralValleysp	0.01506787	MidOregonCoast	1.07e-06	CentralValleyfa--Butte_Cr_fa	75	-27.2855	-0.266392	0.379	28	10	October	NA	NA	NA	NA	NA	NA	NA	NA
T037235	33	00-L873	0	2000	11	SF	SNF	2000-11-05	21	1905	569	44	61	0.3	0.08	0.11	1	620	26.5	1	0.613636363636364	7	CentralValleysp	0.96200122	CentralValleyfa	0.03799836	LColumbiaRsp	3.5e-07	CentralValleysp--UpperSacramento_R_sp	88	-32.015956	-0.109192	0.4363	33	11	November	NA	NA	NA	NA	NA	NA	NA	NA
T037297	22	00-M118	0	2000	8	MO	SCR	2000-08-22	16	1307	467	39	47	0.36	0.08	0.1	1	472	20.4	2	0.648351648351648	4	CentralValleyfa	0.99966605	CentralValleysp	0.00033307	DeschutesRfa	8.7e-07	CentralValleyfa--Butte_Cr_fa	91	-30.213519	1.189986	0.8914	22	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T037312	27	00-M133	0	2000	9	MO	SCR	2000-09-29	18	551	128	7	29	0.23	0.05	0.23	1	558	23.9	2	0.0952380952380952	32	CentralValleyfa	0.99893258	DeschutesRfa	0.00041996	LColumbiaRsp	0.00026075	CentralValleyfa--Butte_Cr_fa	63	-35.065761	-7.044883	0	27	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037330	24	00-M240	0	2000	9	MO	MOS	2000-09-03	17	901	228	26	60	0.25	0.11	0.26	1	510	21.9	2	0.569620253164557	16	CentralValleyfa	0.97951159	CentralValleysp	0.02048841	CentralValleywi	0	CentralValleyfa--Mokelumne_R_fa	79	-25.489924	1.355036	0.9192	24	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037331	24	00-M241	0	2000	9	MO	MOS	2000-09-03	17	901	228	26	60	0.25	0.11	0.26	1	528	22.7	2	0.595505617977528	6	CentralValleyfa	0.95880755	CentralValleysp	0.04119239	DeschutesRfa	6e-08	CentralValleyfa--Butte_Cr_fa	89	-27.616056	2.110855	0.9914	24	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037380	14	00-N062	0	2000	6	EU	KGS	2000-06-27	12	453	112	5	30	0.25	0.04	0.27	1	613	26.2	2	0.621951219512195	13	CentralValleyfa	0.99989768	DeschutesRfa	9.289e-05	CentralValleysp	6.86e-06	CentralValleyfa--Butte_Cr_fa	82	-30.376959	-0.096342	0.4434	14	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T037397	15	00-N082	0	2000	7	CR	CRD	2000-07-02	13	867	279	10	30	0.32	0.04	0.11	1	771	32.6	2	0.576470588235294	10	CentralValleyfa	0.99907497	CentralValleysp	0.00092495	UColumbiaRsufa	3e-08	CentralValleyfa--Butte_Cr_fa	85	-28.533883	1.227307	0.8964	15	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037399	15	00-N084	0	2000	7	CR	CRD	2000-07-02	13	867	279	10	30	0.32	0.04	0.11	1	716	30.4	2	0.573333333333333	20	CentralValleyfa	0.99992203	CentralValleysp	7.796e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	75	-28.191145	-0.670814	0.2375	15	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037410	15	00-N095	0	2000	7	CR	CRD	2000-07-06	13	867	279	10	30	0.32	0.04	0.11	1	710	30.1	2	0.357142857142857	53	CentralValleyfa	0.47093322	KlamathR	0.45637993	MidOregonCoast	0.04774256	KlamathR--Klamath_IGH_fa	42	-22.423599	-5.342963	1e-04	15	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037415	15	00-N100	0	2000	7	CR	CRD	2000-07-06	13	867	279	10	30	0.32	0.04	0.11	1	697	29.6	2	0.575	15	CentralValleyfa	0.99570954	CentralValleysp	0.00314224	LColumbiaRsp	0.00113199	CentralValleyfa--Butte_Cr_fa	80	-33.509031	-2.28202	0.0177	15	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037419	18	00-N104	0	2000	7	EU	FLD	2000-07-29	14	1084	261	15	31	0.24	0.06	0.12	1	798	33.8	2	0.121212121212121	29	MidOregonCoast	0.73541466	WillametteR	0.20996338	CentralValleyfa	0.0432317	MidOregonCoast--Umpqua_sp	66	-28.613436	-2.068794	0.0288	18	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037436	20	00-N133	0	2000	8	CR	CRD	2000-08-10	15	1273	329	9	19	0.26	0.03	0.06	1	799	33.8	2	0	86	KlamathR	0.6779394	CentralValleyfa	0.30883709	WillametteR	0.00442703	KlamathR--Klamath_IGH_fa	9	-2.799793	0.146763	0.4879	20	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T037476	24	00-N228	0	2000	9	EU	TRD	2000-09-05	17	454	110	6	44	0.24	0.05	0.4	1	605	25.8	2	0.58974358974359	17	CentralValleyfa	0.99987914	CentralValleysp	0.00011648	LColumbiaRsp	3.24e-06	CentralValleyfa--Butte_Cr_fa	78	-30.560107	-1.131542	0.1296	24	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T037484	9	00-O008	0	2000	5	EU	FLD	2000-05-27	10	284	70	2	20	0.25	0.03	0.29	1	860	36.3	2	0.540540540540541	21	CentralValleyfa	0.99914477	CentralValleysp	0.00085511	DeschutesRfa	1.1e-07	CentralValleyfa--Butte_Cr_fa	74	-27.955683	-0.655037	0.2408	9	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T037491	10	00-O015	0	2000	6	EU	TRD	2000-06-03	11	1320	322	9	50	0.24	0.03	0.16	1	665	28.3	2	0.72289156626506	12	CentralValleyfa	0.99934169	CentralValleysp	0.00043869	DeschutesRfa	0.00011252	CentralValleyfa--Butte_Cr_fa	83	-28.845472	0.490829	0.6758	10	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T037498	11	00-O025	0	2000	6	CR	CRL	2000-06-09	11	145	37	1	15	0.26	0.03	0.41	1	840	35.5	2	0.670886075949367	16	CentralValleyfa	0.99965293	CentralValleysp	0.00033936	DeschutesRfa	4.62e-06	CentralValleyfa--Mokelumne_R_fa	79	-29.642675	-0.317722	0.3512	11	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T037502	11	00-O032	0	2000	6	EU	FLD	2000-06-10	11	1320	322	9	50	0.24	0.03	0.16	1	760	32.2	2	0.571428571428571	11	CentralValleyfa	0.60297917	MidOregonCoast	0.19801754	RogueR	0.19217251	CentralValleyfa--Butte_Cr_fa	84	-35.634331	-2.580915	0.0096	11	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T037540	15	00-O083	0	2000	7	EU	TRH	2000-07-06	13	1231	283	12	42	0.23	0.04	0.15	1	850	35.9	2	0.641975308641975	14	CentralValleyfa	0.99999717	CentralValleysp	2.83e-06	CentralValleywi	0	CentralValleyfa--Mokelumne_R_fa	81	-26.479982	1.34871	0.9206	15	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037548	19	00-O092	0	2000	7	EU	TRD	2000-07-30	14	1084	261	15	31	0.24	0.06	0.12	1	709	30.1	2	0.65	15	CentralValleyfa	0.99799165	MidOregonCoast	0.00155654	CentralValleysp	0.00045152	CentralValleyfa--Butte_Cr_fa	80	-30.41546	-0.646443	0.2503	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037557	19	00-O102	0	2000	7	EU	TRD	2000-07-30	14	1084	261	15	31	0.24	0.06	0.12	1	610	26	2	0.438356164383562	22	MidOregonCoast	0.7852354	CentralValleyfa	0.20294718	RogueR	0.01092667	MidOregonCoast--Umpqua_sp	73	-24.95859	1.445012	0.9327	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T037561	19	00-O108	0	2000	8	EU	TRD	2000-08-04	15	3107	767	30	45	0.25	0.04	0.06	1	690	29.3	2	0.65	15	MidOregonCoast	0.96574859	RogueR	0.02859748	CentralValleyfa	0.00537321	MidOregonCoast--Umpqua_sp	80	-31.326384	-0.466375	0.3057	19	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T037575	20	00-O140	0	2000	8	EU	KGS	2000-08-11	15	3107	767	30	45	0.25	0.04	0.06	1	705	29.9	2	0.670588235294118	10	CentralValleyfa	0.98434007	CentralValleysp	0.00638832	MidOregonCoast	0.00567908	CentralValleyfa--Butte_Cr_fa	85	-33.71222	-0.99594	0.1588	20	8	August	NA	NA	NA	NA	NA	NA	NA	NA
