ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T040432	5	02-A001	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	772	32.7	2	0.55421686746988	12	CentralValleyfa	0.99408969	CentralValleysp	0.00591031	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	83	-26.139321	1.791068	0.9752	5	3	March								
T040433	5	02-A002	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	770	32.6	2	0.368421052631579	0	CentralValleyfa	0.82230244	CentralValleysp	0.17769753	LColumbiaRfa	2e-08	CentralValleyfa--Mill_Cr_fa	95	-36.56342	-1.014954	0.1538	5	3	March								
T040434	5	02-A003	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	645	27.5	2	0.351063829787234	1	CentralValleyfa	0.99048486	CentralValleysp	0.00951514	CentralValleywi	0	CentralValleyfa--Mill_Cr_fa	94	-33.255374	0.300589	0.5978	5	3	March								
T040435	5	02-A004	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	683	29	2	0.463157894736842	0	CentralValleyfa	0.99704976	CentralValleysp	0.00295024	CentralValleywi	0	CentralValleyfa--Battle_Cr	95	-34.497628	0.034053	0.4899	5	3	March								
T040436	5	02-A005	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	670	28.5	2	0.340425531914894	1	CentralValleyfa	0.78846012	CentralValleysp	0.21153988	CentralValleywi	0	CentralValleyfa--Feather_H_sp	94	-37.756664	-1.6497	0.0575	5	3	March								
T040437	5	02-A006	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	708	30.1	2	0.368421052631579	0	CentralValleyfa	0.99354067	CentralValleysp	0.00645933	CentralValleywi	0	CentralValleyfa--Mill_Cr_fa	95	-31.688979	1.211863	0.8918	5	3	March								
T040438	5	02-A007	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	684	29.1	2	0.351063829787234	1	CentralValleyfa	0.99855216	CentralValleysp	0.00144328	CentralValleywi	2.83e-06	CentralValleyfa--Butte_Cr_fa	94	-36.247399	-0.988348	0.1605	5	3	March								
T040439	5	02-A008	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	680	28.9	2	0.340425531914894	1	CentralValleyfa	0.54193015	CentralValleysp	0.45806985	CentralValleywi	0	CentralValleysp--Mill_Cr_sp	94	-33.775146	0.238039	0.5749	5	3	March								
T040440	5	02-A009	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	702	29.8	2	0.357894736842105	0	CentralValleyfa	0.99920183	CentralValleysp	0.00079817	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	95	-34.360124	0.067505	0.5047	5	3	March								
T040441	5	02-A010	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	715	30.4	2	0.389473684210526	0	CentralValleyfa	0.9920326	CentralValleysp	0.00796736	DeschutesRfa	4e-08	CentralValleyfa--Feather_H_sp	95	-34.276337	0.157679	0.5418	5	3	March								
