ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T032287	12	98-A001	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	718	30	2	0.368421052631579	0	CentralValleyfa	0.99995104	CentralValleysp	4.896e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	95	-33.602252	0.42696	0.6506	12	5	May								
T032288	12	98-A002	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	615	26	2	0.361702127659574	1	CentralValleyfa	0.99996059	CentralValleysp	3.384e-05	DeschutesRfa	4.74e-06	CentralValleyfa--Feather_H_sp	94	-36.232691	-0.948616	0.1702	12	5	May								
T032289	12	98-A003	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	682	29	2	0.337078651685393	6	CentralValleyfa	0.99998591	CentralValleysp	1.409e-05	CentralValleywi	0	CentralValleyfa--Mokelumne_R_fa	89	-31.589899	0.338283	0.616	12	5	May								
T032290	12	98-A006	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	708	30	2	0.293478260869565	3	RogueR	0.92364956	MidOregonCoast	0.07611538	KlamathR	0.00018108	RogueR--Cole_Rivers_H	92	-34.984855	-0.883119	0.1876	12	5	May								
T032291	12	98-A007	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	694	29	2	0.376344086021505	2	CentralValleyfa	0.99999931	CentralValleysp	6.9e-07	CentralValleywi	0	CentralValleyfa--Mokelumne_R_fa	93	-33.863116	0.006521	0.4824	12	5	May								
T032292	12	98-A008	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	695	30	2	0.43010752688172	2	CentralValleyfa	0.99983067	CentralValleysp	0.00016933	CentralValleywi	0	CentralValleyfa--Mokelumne_R_fa	93	-34.929654	-0.531854	0.2852	12	5	May								
T032293	12	98-A009	98	1998	5	EU	KGS	1998-05-24	10	541	104	3	46	0.19	0.03	0.44	1	745	32	2	0.450549450549451	4	CentralValleyfa	0.99999603	CentralValleysp	3.97e-06	CentralValleywi	0	CentralValleyfa--Feather_H_sp	91	-33.143576	0.010794	0.4848	12	5	May								
T032294	12	98-A010	98	1998	5	EU	KGS	1998-05-27	10	541	104	3	46	0.19	0.03	0.44	1	743	31	2	0.284210526315789	0	CentralValleyfa	0.99999795	CentralValleysp	2.05e-06	CentralValleywi	0	CentralValleyfa--Feather_H_sp	95	-35.008946	-0.168283	0.4092	12	5	May								
T032295	12	98-A011	98	1998	5	EU	KGS	1998-05-27	10	541	104	3	46	0.19	0.03	0.44	1	726	31	2	0.383720930232558	9	CentralValleyfa	0.99720679	CentralValleysp	0.00279321	CentralValleywi	0	CentralValleyfa--Feather_H_sp	86	-30.608631	0.111815	0.5256	12	5	May								
T032296	12	98-A012	98	1998	5	EU	KGS	1998-05-27	10	541	104	3	46	0.19	0.03	0.44	1	778	33	2	0.373626373626374	4	CentralValleyfa	0.98865379	CentralValleysp	0.01134621	CentralValleywi	0	CentralValleyfa--Mill_Cr_fa	91	-34.032935	-0.64494	0.2529	12	5	May								
