ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T032308	12	98-A024	98	1998	5	EU	KGS	1998-05-29	10	541	104	3	46	0.19	0.03	0.44	1	799	34	2	0.583333333333333	23	CentralValleyfa	0.9750487	RogueR	0.01576224	MidOregonCoast	0.00766553	CentralValleyfa--Butte_Cr_fa	72	-36.991538	-5.488202	0	12	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T032327	14	98-A043	98	1998	6	EU	KGS	1998-06-08	11	158	42	3	28	0.27	0.07	0.67	1	769	33	2	0.383333333333333	35	CentralValleyfa	0.99668076	CentralValleysp	0.00331924	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	60	-22.221293	-0.467126	0.3024	14	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T032342	16	98-A058	98	1998	6	EU	KGS	1998-06-27	12	312	74	3	34	0.24	0.04	0.46	1	567	24	1	0	82	CentralValleyfa	0.99754435	RogueR	0.00087503	NCaliforniaSOregonCoast	0.00066367	CentralValleyfa--Feather_H_fa	13	-3.804532	0.483262	0.6477	16	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T032369	15	98-B044	98	1998	6	SF	BER	1998-06-18	12	7493	1872	119	62	0.25	0.06	0.03	1	555	24	1	0.576470588235294	10	CentralValleyfa	0.99977535	CentralValleysp	0.00022465	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	85	-26.931155	2.044345	0.9877	15	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T032561	7	98-D305	98	1998	4	MO	MOR	1998-04-24	8	7951	1360	89	78	0.17	0.07	0.06	1	590	25	2	0.246376811594203	26	CentralValleyfa	0.99301096	CentralValleysp	0.00698904	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	69	-29.722441	-2.639399	0.01	7	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T032562	7	98-D311	98	1998	4	MO	MOR	1998-04-24	8	7951	1360	89	78	0.17	0.07	0.06	1	633	27	2	0.582278481012658	16	CentralValleyfa	0.99701967	CentralValleysp	0.00298022	DeschutesRfa	7e-08	CentralValleyfa--Feather_H_fa	79	-25.636201	1.769912	0.9716	7	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T032577	8	98-D389	98	1998	4	MO	AVI	1998-04-30	8	7951	1360	89	78	0.17	0.07	0.06	1	614	26	2	0.402985074626866	28	CentralValleyfa	0.83834035	CentralValleysp	0.16165665	DeschutesRfa	1.31e-06	CentralValleyfa--Feather_H_fa	67	-26.724442	-1.192615	0.1168	8	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T032578	8	98-D390	98	1998	4	MO	AVI	1998-04-30	8	7951	1360	89	78	0.17	0.07	0.06	1	623	27	2	0.0632911392405063	16	CentralValleyfa	0.99999323	CentralValleysp	6.77e-06	CentralValleywi	0	CentralValleyfa--Feather_H_fa	79	-33.518038	-2.635246	0.0089	8	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T032586	9	98-D422	98	1998	5	MO	MOR	1998-05-03	9	3574	775	67	59	0.22	0.09	0.08	1	678	29	2	0.403225806451613	33	CentralValleyfa	0.992267	CentralValleysp	0.00773298	DeschutesRfa	1e-08	CentralValleyfa--Battle_Cr	62	-23.822273	-0.746841	0.2226	9	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T032588	9	98-D426	98	1998	5	MO	MOR	1998-05-07	9	3574	775	67	59	0.22	0.09	0.08	1	631	27	1	0.434782608695652	26	CentralValleyfa	0.93153803	CentralValleysp	0.06827343	UColumbiaRsufa	0.00010384	CentralValleyfa--Battle_Cr	69	-27.048084	-0.940811	0.1734	9	5	May	NA	NA	NA	NA	NA	NA	NA	NA
