ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T038100	14	01-A001	1	2001	6	FB	SHC	2001-06-03	11	1855	504	29	56	0.27	0.06	0.11	1	723	30.7	2	0.252631578947368	0	CentralValleyfa	0.99995481	CentralValleysp	4.484e-05	LColumbiaRsp	3.5e-07	CentralValleyfa--Feather_H_sp	95	-36.549266	-0.880673	0.1865	14	6	June								
T038101	14	01-A005	1	2001	6	FB	SHC	2001-06-03	11	1855	504	29	56	0.27	0.06	0.11	1	863	36.4	2	0.308510638297872	1	CentralValleyfa	0.99994536	CentralValleysp	5.463e-05	CentralValleywi	0	CentralValleyfa--Feather_H_sp	94	-36.114381	-0.67871	0.2384	14	6	June								
T038102	14	01-A007	1	2001	6	FB	SHC	2001-06-05	11	1855	504	29	56	0.27	0.06	0.11	1	765	32.4	2	0.389473684210526	0	CentralValleyfa	0.99506209	CentralValleysp	0.00492784	SnakeRfa	5.12e-06	CentralValleyfa--Feather_H_sp	95	-36.020044	-0.638792	0.2505	14	6	June								
T038103	14	01-A010	1	2001	6	FB	SHC	2001-06-05	11	1855	504	29	56	0.27	0.06	0.11	1	817	34.5	2	0.347368421052632	0	CentralValleyfa	0.99982813	CentralValleysp	0.00017187	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	95	-30.75245	1.734836	0.9683	14	6	June								
T038104	14	01-A012	1	2001	6	FB	SHC	2001-06-05	11	1855	504	29	56	0.27	0.06	0.11	1	766	32.4	2	0.421052631578947	0	CentralValleyfa	0.9982418	CentralValleysp	0.0017582	CentralValleywi	0	CentralValleyfa--Feather_H_sp	95	-36.101403	-0.689948	0.2331	14	6	June								
T038105	14	01-A013	1	2001	6	FB	SHC	2001-06-05	11	1855	504	29	56	0.27	0.06	0.11	1	742	31.5	2	0.389473684210526	0	CentralValleyfa	0.99923201	CentralValleysp	0.00076712	DeschutesRfa	8.7e-07	CentralValleyfa--Feather_H_sp	95	-30.228578	2.039405	0.9878	14	6	June								
T038106	14	01-A014	1	2001	6	FB	SHC	2001-06-05	11	1855	504	29	56	0.27	0.06	0.11	1	726	30.8	2	0.357894736842105	0	CentralValleyfa	0.99998172	CentralValleysp	1.827e-05	CentralValleywi	0	CentralValleyfa--Feather_H_sp	95	-35.377178	-0.354733	0.3489	14	6	June								
T038107	14	01-A016	1	2001	6	FB	SHC	2001-06-07	11	1855	504	29	56	0.27	0.06	0.11	1	772	32.7	2	0.294736842105263	0	CentralValleyfa	0.59677899	MidColumbiaRtule	0.21082424	SnakeRfa	0.11638971	CentralValleyfa--Feather_H_sp	95	-36.892762	-1.069482	0.1434	14	6	June								
T038108	14	01-A018	1	2001	6	FB	SHC	2001-06-07	11	1855	504	29	56	0.27	0.06	0.11	1	720	30.6	2	0.340425531914894	1	CentralValleyfa	0.99989579	CentralValleysp	9.739e-05	MidOregonCoast	5.89e-06	CentralValleyfa--Feather_H_sp	94	-37.047545	-1.335274	0.0994	14	6	June								
T038109	14	01-A019	1	2001	6	FB	SHC	2001-06-07	11	1855	504	29	56	0.27	0.06	0.11	1	691	29.4	2	0.373626373626374	4	CentralValleyfa	0.99999918	CentralValleysp	8.1e-07	DeschutesRfa	1e-08	CentralValleyfa--Butte_Cr_fa	91	-33.150897	-0.040725	0.4642	14	6	June								
