ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T038153	17	01-A119	1	2001	6	FB	SHC	2001-06-30	12	4450	1059	62	54	0.24	0.06	0.05	1	777	32.9	2	0.594594594594595	21	CentralValleyfa	0.99858389	CentralValleysp	0.00141596	DeschutesRfa	1.5e-07	CentralValleyfa--Feather_H_sp	74	-23.89263	1.22897	0.8966	17	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T038185	21	01-A221	1	2001	7	FB	SHC	2001-07-22	14	5137	1437	92	59	0.28	0.06	0.04	1	763	32.3	2	0.563380281690141	24	CentralValleyfa	0.99288518	CentralValleysp	0.00711471	DeschutesRfa	4e-08	CentralValleyfa--Butte_Cr_fa	71	-24.746209	0.273255	0.5905	21	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T038197	22	01-A258	1	2001	8	FB	SHC	2001-08-02	15	3902	1087	51	68	0.28	0.05	0.06	1	820	34.7	2	0.567567567567568	21	CentralValleyfa	0.99992126	CentralValleysp	7.874e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	74	-25.071072	0.754354	0.767	22	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T038234	25	01-A332	1	2001	8	FB	SHC	2001-08-25	16	1446	442	18	42	0.31	0.04	0.1	1	825	34.9	2	0.626865671641791	28	CentralValleyfa	0.9991084	CentralValleysp	0.0008916	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	67	-19.687404	2.064426	0.9909	25	8	August	NA	NA	NA	NA	NA	NA	NA	NA
T038257	29	01-A359	1	2001	9	FB	SHC	2001-09-20	18	106	28	1	24	0.26	0.04	0.86	1	690	29.3	2	0.102564102564103	17	CentralValleyfa	0.99964722	CentralValleysp	0.00035248	LColumbiaRsp	2.7e-07	CentralValleyfa--Battle_Cr	78	-30.876733	-1.190772	0.1228	29	9	September	NA	NA	NA	NA	NA	NA	NA	NA
T038286	9	01-B064	1	2001	4	MO	SCR	2001-04-29	8	5933	1393	148	56	0.23	0.11	0.04	1	813	34.4	1	0.537313432835821	28	CentralValleyfa	0.99995669	CentralValleysp	4.331e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	67	-23.217461	0.678456	0.7409	9	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T038300	10	01-B085	1	2001	5	MO	SCR	2001-05-11	9	1855	388	30	69	0.21	0.08	0.18	1	652	27.8	2	0	90	CentralValleyfa	0.93474045	KlamathR	0.02401729	CentralValleywi	0.00576359	CentralValleyfa--Butte_Cr_fa	5	-1.602158	0.418532	0.621	10	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T038301	10	01-B086	1	2001	5	MO	SCR	2001-05-11	9	1855	388	30	69	0.21	0.08	0.18	1	712	30.2	2	0.457627118644068	36	CentralValleyfa	0.99997731	CentralValleysp	2.091e-05	DeschutesRfa	1.62e-06	CentralValleyfa--Butte_Cr_fa	59	-18.570746	1.319014	0.9174	10	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T038327	20	01-B119	1	2001	7	MO	SCR	2001-07-19	14	364	94	4	21	0.26	0.04	0.22	1	534	22.9	2	0.232558139534884	52	CentralValleyfa	0.99911005	CentralValleysp	0.00036159	UColumbiaRsufa	0.00024891	CentralValleyfa--Feather_H_fa	43	-18.752456	-3.018616	0.0049	20	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T038433	10	01-D066	1	2001	5	FB	FTB	2001-05-11	9	1112	413	21	57	0.37	0.05	0.14	1	623	26.6	1	0.560606060606061	29	CentralValleyfa	0.9997089	CentralValleysp	0.00028934	CaliforniaCoast	6.8e-07	CentralValleyfa--Butte_Cr_fa	66	-20.268737	1.669561	0.9673	10	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T038474	13	01-D132	1	2001	5	FB	FTB	2001-05-31	10	1551	503	20	53	0.32	0.04	0.11	1	831	35.1	1	0.528571428571429	25	CentralValleyfa	0.99996299	CentralValleysp	3.668e-05	DeschutesRfa	1.4e-07	CentralValleyfa--Butte_Cr_fa	70	-25.596926	0.182398	0.5484	13	5	May	NA	NA	NA	NA	NA	NA	NA	NA
